event_id,parent_company,brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,units_allocated,,sell_through_pct,,,"event_id is the unique identifier for each row, hence the PK"
POP100387,Beiersdorf,La Prairie,Europe,Berlin,High-Street,Flash Event,2025-03-29,2025-05-19,51,LE-3OAR33HI,La Prairie Velvet Fragrance,134.21,2200,2793,4121,67.77,0.6777,,,
POP100543,Estée Lauder,Estée Lauder,Asia-Pacific,Seoul,Art/Design District,Flash Event,2025-04-22,2025-05-29,37,LE-QHQQXWM6,Estée Lauder Velvet Fragrance,174.22,934,2142,3573,59.95,0.5995,,,
POP101251,LVMH,Dior,Latin America,São Paulo,Airport Duty-Free,Mobile Pop-Up Truck,2025-07-27,2025-08-09,13,LE-6E92S4O2,Dior Glow Lipstick,36.01,2052,2325,4421,52.59,0.5259,,,
POP100020,L’Oréal Group,YSL Beauty,Europe,Madrid,Luxury Mall,Shop-in-Shop,2024-11-02,2025-01-01,60,LE-ADTZ80VS,YSL Beauty Noir Lipstick,39.54,767,2693,4159,64.75,0.6475,,,
POP100710,LVMH,Guerlain,North America,Chicago,Department Store Atrium,Shop-in-Shop,2024-09-17,2024-10-03,16,LE-OCG1AFFH,Guerlain Velvet Primer,54.24,1245,1744,2624,66.46,0.6646,,,
POP101225,Sisley,Sisley-Paris,North America,Toronto,Airport Duty-Free,Mobile Pop-Up Truck,2024-07-27,2024-10-09,74,LE-06UA30PM,Sisley-Paris Satin Eyeshadow Palette,115.81,2070,1917,3867,49.57,0.4957,,,
POP100381,LVMH,Fenty Beauty,Latin America,Lima,Art/Design District,Standalone Pop-Up,2024-07-24,2024-09-11,49,LE-P6V9ZGLG,Fenty Beauty Lumière Eyeshadow Palette,72.67,1183,1442,2005,71.92,0.7192,,,
POP101635,Sisley,Sisley-Paris,Europe,Madrid,High-Street,Mobile Pop-Up Truck,2024-11-04,2025-01-04,61,LE-Z07Z35PX,Sisley-Paris Satin Blush,42.97,1157,766,786,97.46,0.9746,,,
POP101703,Beiersdorf,La Prairie,Latin America,Bogotá,Art/Design District,Flash Event,2024-11-09,2025-01-30,82,LE-44LYTE7G,La Prairie Rouge Primer,50.46,787,2568,4617,55.62,0.5562,,,
POP100755,L’Oréal Group,Armani Beauty,North America,Chicago,Airport Duty-Free,Mobile Pop-Up Truck,2024-08-02,,43,LE-WCEZV73W,Armani Beauty Glow Setting Powder,47.94,1568,1677,1881,89.15,0.8915,,,
POP101164,L’Oréal Group,Armani Beauty,Latin America,Mexico City,Department Store Atrium,Flash Event,2024-08-22,2024-10-26,65,LE-SIUFODYE,Armani Beauty Pearl Eyeshadow Palette,132.1,1360,2064,2076,99.42,0.9942,,,
POP100925,Estée Lauder,Estée Lauder,Middle East,Jeddah,Department Store Atrium,Standalone Pop-Up,2025-02-21,2025-05-13,81,LE-TYDMGFS7,Estée Lauder Lumière Primer,45.31,1646,1151,1787,64.41,0.6441,,,
POP100552,Estée Lauder Companies,MAC Cosmetics,Latin America,Buenos Aires,Airport Duty-Free,Mobile Pop-Up Truck,2024-07-05,2024-07-22,17,LE-TXGD2H2U,MAC Cosmetics Glow Lipstick,45.1,2011,1700,2962,57.39,0.5739,,,
POP101670,Chanel Limited,Chanel,North America,,Department Store Atrium,Mobile Pop-Up Truck,2024-05-08,2024-06-29,52,LE-4DGA2I4I,Chanel Mirage Highlighter,41.95,858,4463,4839,92.23,0.9223,,,
POP101778,Sisley,Sisley-Paris,Latin America,Mexico City,Department Store Atrium,Standalone Pop-Up,2024-10-07,2024-11-12,36,LE-N6UG17BT,Sisley-Paris Velvet Mascara,32.39,1302,1733,2200,78.77,0.7877,,,
POP101231,Chanel Limited,Chanel,Middle East,Riyadh,High-Street,Shop-in-Shop,2024-07-10,2024-08-20,41,LE-0YVVWG55,Chanel Satin Highlighter,35.21,1917,983,1149,85.55,0.8555,,,
POP101545,LVMH,Dior,Asia-Pacific,Hong Kong,Art/Design District,Shop-in-Shop,2025-04-28,2025-05-14,16,LE-2N952P5L,Dior Pearl Mascara,43.27,562,1568,2441,64.24,0.6424,,,
POP102009,Private ,Huda Beauty,Europe,Milan,Department Store Atrium,Shop-in-Shop,2025-04-09,2025-04-27,18,LE-LST12DPP,Huda Beauty Mirage Blush,39.97,1010,1368,1568,87.24,0.8724,,,
POP101671,Puig,Charlotte Tilbury,Europe,,Luxury Mall,Shop-in-Shop,2024-11-17,2024-12-10,23,LE-P14A2PXL,Charlotte Tilbury Rouge Highlighter,77.33,1013,830,1663,49.91,0.4991,,,
POP100374,Puig,Charlotte Tilbury,Europe,London,Art/Design District,Standalone Pop-Up,2024-10-11,2024-12-15,65,LE-75XWD67A,Charlotte Tilbury Mirage Primer,44.6,1258,610,871,70.03,0.7003,,,
POP100270,Puig,Charlotte Tilbury,Latin America,Mexico City,High-Street,Shop-in-Shop,2025-06-03,2025-06-08,5,LE-VY4YU47L,Charlotte Tilbury Velvet Highlighter,62.19,2613,1189,1470,80.88,0.8088,,,
POP100744,Estée Lauder Companies,Tom Ford Beauty,Latin America,São Paulo,Art/Design District,Shop-in-Shop,2025-05-12,2025-06-07,26,LE-HHMFOIEA,Tom Ford Beauty Glow Setting Powder,78.95,700,2852,3678,77.54,0.7754,,,
POP101337,Sisley,Sisley-Paris,Asia-Pacific,Singapore,High-Street,Mobile Pop-Up Truck,2025-01-28,2025-04-22,84,LE-7GYPYDF0,Sisley-Paris Satin Blush,56.3,1184,2058,2433,84.59,0.8459,,,
POP100555,L’Oréal Group,Armani Beauty,Asia-Pacific,Shanghai,Airport Duty-Free,Mall Kiosk,2025-02-19,2025-05-19,89,LE-6ZLE0HZF,Armani Beauty Pearl Foundation,46.17,1718,394,806,48.88,0.4888,,,
POP101825,L’Oréal Group,Lancôme,Middle East,Abu Dhabi,Luxury Mall,Mobile Pop-Up Truck,2024-11-16,2025-01-12,57,LE-5G4EDJVE,Lancôme Mirage Mascara,60.49,1043,4409,4534,97.24,0.9724,,,
POP100849,LVMH,Givenchy Beauty,Europe,Madrid,Art/Design District,Standalone Pop-Up,2025-01-14,2025-02-20,37,LE-7YAVIQ0M,Givenchy Beauty Éclat Foundation,68.65,934,777,1158,67.1,0.671,,,
POP100810,L’Oréal Group,Valentino Beauty,Latin America,São Paulo,Department Store Atrium,Shop-in-Shop,2024-11-14,2024-11-26,12,LE-ZXUS8WZA,Valentino Beauty Satin Lipstick,36.85,1462,278,402,69.15,0.6915,,,
POP100025,Chanel Limited,Chanel,Latin America,São Paulo,Art/Design District,Standalone Pop-Up,2025-02-27,2025-05-16,78,LE-LIGE2IBM,Chanel Glow Setting Powder,76.53,764,3744,4233,88.45,0.8845,,,
POP101466,LVMH,Dior,Europe,Paris,Department Store Atrium,Flash Event,2024-12-26,2025-03-19,83,LE-PF8TQ2CX,Dior Velvet Blush,59.11,1463,4844,4844,100,1,,,
POP100078,Private ,Pat McGrath Labs,Latin America,,Luxury Mall,Flash Event,2024-06-28,2024-08-24,57,LE-W458SB4I,Pat McGrath Labs Rouge Blush,66.51,1134,1326,1671,79.35,0.7935,,,
POP100366,Private ,Rare Beauty,Europe,Milan,High-Street,Standalone Pop-Up,2025-06-03,2025-08-04,62,LE-DHIU8T6O,Rare Beauty Opulence Serum,296.22,1189,3434,4758,72.17,0.7217,,,
POP101541,Puig,Charlotte Tilbury,Latin America,Buenos Aires,Luxury Mall,Shop-in-Shop,2024-04-09,2024-06-20,72,LE-1L2BBJZA,Charlotte Tilbury Opulence Mascara,63.97,919,499,753,66.27,0.6627,,,
POP100032,Sisley,Sisley-Paris,Middle East,Doha,Airport Duty-Free,Mobile Pop-Up Truck,2024-03-04,2024-05-14,71,LE-1B1KEWX7,Sisley-Paris Rouge Mascara,35.21,1701,2641,4577,57.7,0.577,,,
POP100532,L’Oréal Group,Valentino Beauty,Latin America,Buenos Aires,Airport Duty-Free,Standalone Pop-Up,2024-09-06,2024-11-09,64,LE-WCNEVUU5,Valentino Beauty Velvet Lipstick,35.19,1283,1607,1778,90.38,0.9038,,,
POP102017,Private ,Huda Beauty,North America,New York,Airport Duty-Free,Mobile Pop-Up Truck,2025-02-07,2025-02-19,12,LE-ZQGC0CH0,Huda Beauty Velvet Mascara,32.66,1910,3092,3706,83.43,0.8343,,,
POP101064,L’Oréal Group,Valentino Beauty,Latin America,Lima,Art/Design District,Mobile Pop-Up Truck,2024-05-05,2024-07-10,66,LE-7N7K3EZQ,Valentino Beauty Noir Highlighter,55.85,556,2599,3332,78,0.78,,,
POP101553,LVMH,Dior,North America,Los Angeles,Airport Duty-Free,Shop-in-Shop,2024-05-13,2024-05-19,6,LE-195GXUWU,Dior Lumière Fragrance,223.21,1772,1683,1744,96.5,0.965,,,
POP100993,Unilever,Hourglass,North America,,Art/Design District,Shop-in-Shop,2024-03-20,2024-03-25,5,LE-CLTNOT58,Hourglass Lumière Foundation,96.68,1284,2808,3689,76.12,0.7612,,,
POP100527,L’Oréal Group,Lancôme,Latin America,São Paulo,Luxury Mall,Shop-in-Shop,2025-01-22,2025-04-19,87,LE-ZX8P3JRD,Lancôme Satin Highlighter,39.38,812,980,1131,86.65,0.8665,,,
POP100163,Estée Lauder,Estée Lauder,Middle East,Jeddah,Department Store Atrium,Shop-in-Shop,2024-10-11,2024-12-13,63,LE-MLB5IPRW,Estée Lauder Glow Primer,82.11,868,2076,2418,85.86,0.8586,,,
POP100203,Shiseido Company Limited,Clé de Peau Beauté,Europe,Madrid,Airport Duty-Free,Standalone Pop-Up,2024-11-22,2025-01-08,47,LE-LFRXVT72,Clé de Peau Beauté Satin Primer,51.96,2479,671,707,94.91,0.9491,,,
POP101355,Shiseido Company Limited,Shiseido,Asia-Pacific,Singapore,Art/Design District,Mobile Pop-Up Truck,2025-06-02,2025-07-20,48,LE-NQ5EQN3F,Shiseido Pearl Blush,65.03,1045,833,941,88.52,0.8852,,,
POP102028,Private ,Huda Beauty,Latin America,Mexico City,High-Street,Mobile Pop-Up Truck,2025-05-03,2025-06-09,37,LE-ZDD3271D,Huda Beauty Velvet Primer,69.16,2218,2552,3500,72.91,0.7291,,,
POP100432,Shiseido Company Limited,Shiseido,Asia-Pacific,Shanghai,High-Street,Mall Kiosk,2024-11-28,2025-02-21,85,LE-25PJ3RWG,Shiseido Éclat Highlighter,47.77,1561,2543,4574,55.6,0.556,,,
POP101094,LVMH,Dior,Europe,Milan,Luxury Mall,Mobile Pop-Up Truck,2024-07-28,2024-10-23,87,LE-0UGL76H2,Dior Mirage Setting Powder,47.11,1376,2314,4941,46.83,0.4683,,,
POP100305,Estée Lauder Companies,Bobbi Brown,Europe,Milan,Art/Design District,Mall Kiosk,2024-12-11,2025-02-03,54,LE-3OR84ZDV,Bobbi Brown Pearl Serum,254.07,647,1675,1899,88.2,0.882,,,
POP101474,LVMH,Fenty Beauty,Latin America,Lima,Art/Design District,Shop-in-Shop,2025-03-06,2025-05-12,67,LE-GTLQQTUY,Fenty Beauty Pearl Mascara,53.91,1041,840,1111,75.61,0.7561,,,
POP101776,Estée Lauder Companies,MAC Cosmetics,North America,Miami,High-Street,Mobile Pop-Up Truck,2024-02-19,2024-03-13,23,LE-4JUFD69N,MAC Cosmetics Velvet Blush,35.92,1418,1362,2533,53.77,0.5377,,,
POP102115,LVMH,Givenchy Beauty,Asia-Pacific,Hong Kong,Department Store Atrium,Standalone Pop-Up,2024-12-18,2025-02-12,56,LE-SAU3VWFR,Givenchy Beauty Opulence Setting Powder,46.98,954,652,1215,53.66,0.5366,,,
POP100192,Beiersdorf,La Prairie,North America,Miami,Airport Duty-Free,Mall Kiosk,2024-06-27,2024-06-30,3,LE-7YAASC5C,La Prairie Velvet Primer,53.76,928,2555,3121,81.86,0.8186,,,
POP100999,LVMH,Guerlain,Middle East,Riyadh,Art/Design District,Mobile Pop-Up Truck,2025-01-04,2025-01-11,7,LE-A2P1USXW,Guerlain Mirage Mascara,53.42,969,1917,2451,78.21,0.7821,,,
POP100480,Estée Lauder,Estée Lauder,Europe,Paris,High-Street,Mall Kiosk,2024-08-04,2024-10-22,79,LE-C6VVXEGL,Estée Lauder Rouge Fragrance,242.56,2087,1609,1791,89.84,0.8984,,,
POP101660,Shiseido Company Limited,Shiseido,North America,Miami,Airport Duty-Free,Standalone Pop-Up,2025-02-15,2025-05-11,85,LE-WN3RYM6Y,Shiseido Lumière Blush,37.79,1043,1699,3207,52.98,0.5298,,,
POP100719,LVMH,Fenty Beauty,Asia-Pacific,Seoul,Luxury Mall,Standalone Pop-Up,2024-08-20,2024-09-24,35,LE-15TX4NG1,Fenty Beauty Velvet Highlighter,45.76,862,795,1727,46.03,0.4603,,,
POP100836,Sisley,Sisley-Paris,Middle East,Jeddah,Luxury Mall,Mall Kiosk,2024-07-12,2024-10-01,81,LE-94MBVQIV,Sisley-Paris Velvet Highlighter,76,1953,880,1799,48.92,0.4892,,,
POP101013,LVMH,Fenty Beauty,Europe,Berlin,Department Store Atrium,Mobile Pop-Up Truck,2025-01-16,2025-03-17,60,LE-LE228CSK,Fenty Beauty Lumière Setting Powder,57.96,566,669,1195,55.98,0.5598,,,
POP101538,Estée Lauder Companies,MAC Cosmetics,Middle East,Riyadh,High-Street,Mobile Pop-Up Truck,2024-12-13,2025-02-24,73,LE-S56WZB6O,MAC Cosmetics Mirage Foundation,116.18,2463,2802,4496,62.32,0.6232,,,
POP100218,Estée Lauder Companies,MAC Cosmetics,Europe,London,Department Store Atrium,Standalone Pop-Up,2024-07-14,2024-07-24,10,LE-RZILIOZ8,MAC Cosmetics Velvet Serum,86.96,1351,1996,2826,70.63,0.7063,,,
POP100893,Shiseido Company Limited,Clé de Peau Beauté,North America,Los Angeles,High-Street,Standalone Pop-Up,2024-03-15,2024-03-27,12,LE-IWD2ROSR,Clé de Peau Beauté Glow Foundation,57.58,1809,2286,3882,58.89,0.5889,,,
POP102098,Estée Lauder,Estée Lauder,Latin America,Buenos Aires,Art/Design District,Mobile Pop-Up Truck,2025-05-26,2025-06-09,14,LE-F9W4LZG0,Estée Lauder Noir Primer,74.61,805,2441,4099,59.55,0.5955,,,
POP100351,LVMH,Fenty Beauty,Asia-Pacific,Hong Kong,Department Store Atrium,Flash Event,2024-12-01,2025-02-02,63,LE-G3A7JFIF,Fenty Beauty Opulence Lipstick,38.35,1528,349,640,54.53,0.5453,,,
POP101844,LVMH,Fenty Beauty,Latin America,Buenos Aires,Luxury Mall,Shop-in-Shop,2024-04-01,2024-06-11,71,LE-BR6RRTY3,Fenty Beauty Glow Eyeshadow Palette,136.54,1999,2042,2680,76.19,0.7619,,,
POP101053,Estée Lauder Companies,Bobbi Brown,Middle East,Riyadh,Airport Duty-Free,Mobile Pop-Up Truck,2024-03-08,2024-03-15,7,LE-YZI750T5,Bobbi Brown Velvet Highlighter,43.59,742,284,556,51.08,0.5108,,,
POP100780,Shiseido Company Limited,Clé de Peau Beauté,North America,New York,Luxury Mall,Mall Kiosk,2025-04-10,2025-05-17,37,LE-8RF6K33K,Clé de Peau Beauté Satin Serum,172.84,1583,882,1835,48.07,0.4807,,,
POP101718,LVMH,Fenty Beauty,Europe,Milan,High-Street,Mobile Pop-Up Truck,2024-05-15,2024-06-24,40,LE-MXI8MEJY,Fenty Beauty Éclat Serum,211.8,2486,2449,2599,94.23,0.9423,,,
POP100886,Sisley,Sisley-Paris,Latin America,Bogotá,Luxury Mall,Mall Kiosk,2024-07-10,2024-08-12,33,LE-YM1INTM6,Sisley-Paris Rouge Lipstick,30.96,838,3391,4088,82.95,0.8295,,,
POP101437,L’Oréal Group,Lancôme,Europe,Paris,Department Store Atrium,Shop-in-Shop,2024-07-29,2024-09-01,34,LE-4OW3O3HP,Lancôme Mirage Mascara,33.49,1071,1482,3176,46.66,0.4666,,,
POP100059,Puig,Charlotte Tilbury,Asia-Pacific,Shanghai,Airport Duty-Free,Shop-in-Shop,2024-07-23,2024-10-13,82,LE-D6DSK860,Charlotte Tilbury Lumière Eyeshadow Palette,54.91,1217,2172,2172,100,1,,,
POP100411,Chanel Limited,Chanel,Middle East,Jeddah,Luxury Mall,Flash Event,2025-05-18,2025-08-04,78,LE-GKWTXUGY,Chanel Éclat Lipstick,31.2,1356,2250,2424,92.82,0.9282,,,
POP101286,Private ,Pat McGrath Labs,Latin America,Lima,Luxury Mall,Mall Kiosk,2024-08-25,2024-10-23,59,LE-TSI9834H,Pat McGrath Labs Rouge Eyeshadow Palette,89.75,1719,2128,4573,46.53,0.4653,,,
POP101242,Shiseido Company Limited,Clé de Peau Beauté,North America,Miami,Luxury Mall,Mall Kiosk,2024-06-07,2024-07-27,50,LE-6JKNCSNM,Clé de Peau Beauté Lumière Mascara,58.52,1091,3316,3578,92.68,0.9268,,,
POP102066,Private ,Pat McGrath Labs,Europe,London,Airport Duty-Free,Standalone Pop-Up,2024-12-11,2025-02-23,74,LE-YUU61AKT,Pat McGrath Labs Pearl Setting Powder,50.52,2114,1752,2502,70.02,0.7002,,,
POP100073,L’Oréal Group,Lancôme,Latin America,Bogotá,High-Street,Flash Event,2024-05-08,2024-07-21,74,LE-IIZ2YAG2,Lancôme Mirage Eyeshadow Palette,131.69,905,3191,3654,87.33,0.8733,,,
POP100613,Estée Lauder Companies,NARS,Middle East,Abu Dhabi,Department Store Atrium,Shop-in-Shop,2024-08-18,2024-10-06,49,LE-VK03G6QA,NARS Éclat Blush,55.52,555,599,804,74.5,0.745,,,
POP101268,Estée Lauder Companies,Bobbi Brown,Latin America,Mexico City,Luxury Mall,Mall Kiosk,2024-10-20,2024-12-05,46,LE-D1MB29BI,Bobbi Brown Glow Lipstick,74,1202,2064,3252,63.47,0.6347,,,
POP100162,Estée Lauder Companies,Tom Ford Beauty,Europe,Berlin,High-Street,Mall Kiosk,2024-04-13,2024-06-12,60,LE-FWAP21MD,Tom Ford Beauty Éclat Primer,67.1,2216,2987,4130,72.32,0.7232,,,
POP100939,LVMH,Givenchy Beauty,Latin America,Bogotá,High-Street,Flash Event,2025-04-13,2025-05-26,43,LE-48QJZ2PU,Givenchy Beauty Satin Primer,63.95,1738,2052,4105,49.99,0.4999,,,
POP101654,Sisley,Sisley-Paris,Asia-Pacific,Tokyo,Art/Design District,Flash Event,2024-05-22,2024-06-09,18,LE-JZSV1A02,Sisley-Paris Éclat Foundation,106.34,1110,1351,1351,100,1,,,
POP100447,LVMH,Dior,Asia-Pacific,Tokyo,Luxury Mall,Flash Event,2024-03-21,2024-05-28,68,LE-2GKYT5VA,Dior Opulence Mascara,45.5,1964,2193,2609,84.06,0.8406,,,
POP101385,Estée Lauder Companies,NARS,Middle East,Dubai,High-Street,Mall Kiosk,2024-07-04,2024-07-13,9,LE-PBWCWWRC,NARS Velvet Blush,49.78,2834,3284,3284,100,1,,,
POP100353,Beiersdorf,La Prairie,Europe,Paris,Airport Duty-Free,Mobile Pop-Up Truck,2024-09-27,2024-10-06,9,LE-IPN5T5WV,La Prairie Éclat Mascara,59.35,1614,1725,2052,84.06,0.8406,,,
POP101436,LVMH,Guerlain,North America,Miami,Department Store Atrium,Mall Kiosk,2024-10-20,2025-01-08,80,LE-VY2FMUCB,Guerlain Velvet Mascara,70.53,1481,2073,4305,48.15,0.4815,,,
POP100916,Private ,Pat McGrath Labs,Latin America,Buenos Aires,Art/Design District,Standalone Pop-Up,2024-05-10,2024-05-31,21,LE-QDCR80GE,Pat McGrath Labs Éclat Setting Powder,44.9,1163,472,1092,43.22,0.4322,,,
POP101234,Estée Lauder Companies,MAC Cosmetics,Latin America,Lima,Luxury Mall,Mobile Pop-Up Truck,2024-08-17,2024-08-21,4,LE-3412CJHJ,MAC Cosmetics Pearl Fragrance,211.63,1438,1025,1473,69.59,0.6959,,,
POP102091,L’Oréal Group,Armani Beauty,North America,New York,Department Store Atrium,Mobile Pop-Up Truck,2024-03-17,2024-04-28,42,LE-LKF7E8HV,Armani Beauty Lumière Mascara,45.07,1745,713,849,83.98,0.8398,,,
POP100727,Chanel Limited,Chanel,Europe,London,Airport Duty-Free,Shop-in-Shop,2025-02-13,2025-04-27,73,LE-L5MPGB6L,Chanel Éclat Fragrance,211.32,1531,2639,4198,62.86,0.6286,,,
POP100567,LVMH,Guerlain,North America,Chicago,Department Store Atrium,Standalone Pop-Up,2025-01-08,2025-01-13,5,LE-7Q3FICZD,Guerlain Mirage Mascara,41.5,1657,1775,2268,78.26,0.7826,,,
POP100045,Shiseido Company Limited,Shiseido,Latin America,São Paulo,Department Store Atrium,Standalone Pop-Up,2024-12-06,2025-01-30,55,LE-WNTJ42BE,Shiseido Éclat Foundation,92.16,1601,1257,2181,57.63,0.5763,,,
POP101318,LVMH,Fenty Beauty,North America,Toronto,Art/Design District,Mobile Pop-Up Truck,2025-01-25,,57,LE-OR525YAP,Fenty Beauty Mirage Primer,39.48,507,816,1188,68.69,0.6869,,,
POP100519,Hermès International,Hermès Beauty,Europe,Milan,Art/Design District,Mall Kiosk,2024-10-26,2024-12-31,66,LE-94031G12,Hermès Beauty Velvet Serum,96.31,1201,175,234,74.79,0.7479,,,
POP100617,Hermès International,Hermès Beauty,North America,Miami,Department Store Atrium,Mobile Pop-Up Truck,2024-04-07,2024-04-18,11,LE-H3U230CQ,Hermès Beauty Velvet Setting Powder,69.59,1645,607,1154,52.6,0.526,,,
POP100294,LVMH,Guerlain,Europe,Madrid,Luxury Mall,Mall Kiosk,2024-11-04,2024-12-12,38,LE-RWS1PYHD,Guerlain Lumière Setting Powder,63.28,1204,254,494,51.42,0.5142,,,
POP101731,Private ,Pat McGrath Labs,Latin America,Bogotá,Luxury Mall,Mall Kiosk,2024-04-01,2024-06-13,73,LE-1K2P147D,Pat McGrath Labs Lumière Setting Powder,52.72,1296,1187,2034,58.36,0.5836,,,
POP100076,L’Oréal Group,YSL Beauty,Middle East,Riyadh,Department Store Atrium,Standalone Pop-Up,2024-05-07,2024-06-10,34,LE-0C1V91SY,YSL Beauty Noir Highlighter,60.51,1671,725,780,92.95,0.9295,,,
POP100205,Private ,Rare Beauty,Asia-Pacific,Shanghai,Art/Design District,Flash Event,2024-07-22,2024-10-04,74,LE-HKC57Y22,Rare Beauty Lumière Setting Powder,54.69,566,1738,2722,63.85,0.6385,,,
POP101588,Private ,Rare Beauty,Middle East,Riyadh,Department Store Atrium,Shop-in-Shop,2025-03-31,2025-04-16,16,LE-4HA0O7M7,Rare Beauty Lumière Foundation,57.57,948,192,373,51.47,0.5147,,,
POP100494,L’Oréal Group,Lancôme,North America,Toronto,Department Store Atrium,Standalone Pop-Up,2024-02-22,2024-03-01,8,LE-73EF4MAT,Lancôme Noir Setting Powder,83.6,1404,2568,2621,97.98,0.9798,,,
POP101822,Hermès International,Hermès Beauty,Latin America,Buenos Aires,Department Store Atrium,Flash Event,2024-12-29,2025-01-15,17,LE-MUUSUQ0L,Hermès Beauty Pearl Primer,35.03,1367,1231,1380,89.2,0.892,,,
POP100414,Unilever,Hourglass,Asia-Pacific,Singapore,High-Street,Shop-in-Shop,2025-06-25,2025-08-07,43,LE-307PZD1D,Hourglass Pearl Primer,44.65,998,3305,4073,81.14,0.8114,,,
POP101287,Estée Lauder Companies,Tom Ford Beauty,North America,Los Angeles,High-Street,Standalone Pop-Up,2025-02-26,2025-05-07,70,LE-8EPXVCHK,Tom Ford Beauty Satin Setting Powder,67.08,2344,208,248,83.87,0.8387,,,
POP101449,Estée Lauder,Estée Lauder,Middle East,,Airport Duty-Free,Mobile Pop-Up Truck,2025-03-16,2025-06-12,88,LE-KXELI6K6,Estée Lauder Noir Highlighter,82.59,1937,1364,2024,67.39,0.6739,,,
POP100436,Estée Lauder Companies,Bobbi Brown,North America,Miami,Art/Design District,Flash Event,2025-05-05,2025-06-14,40,LE-2OCXQQ1S,Bobbi Brown Rouge Blush,61.16,647,3235,3893,83.1,0.831,,,
POP101210,Private ,Rare Beauty,Europe,Paris,Department Store Atrium,Shop-in-Shop,2025-05-12,2025-07-17,66,LE-EMXROV9J,Rare Beauty Mirage Mascara,30.53,1169,1997,3245,61.54,0.6154,,,
POP100715,Private ,Pat McGrath Labs,North America,Miami,Art/Design District,Mobile Pop-Up Truck,2024-07-30,2024-08-30,31,LE-Z3HO59DV,Pat McGrath Labs Velvet Serum,257.83,1340,1586,2634,60.21,0.6021,,,
POP100393,L’Oréal Group,YSL Beauty,Asia-Pacific,Hong Kong,High-Street,Standalone Pop-Up,2024-08-09,2024-11-03,86,LE-16TS29U9,YSL Beauty Mirage Eyeshadow Palette,125.14,2914,2325,3451,67.37,0.6737,,,
POP101883,Private ,Rare Beauty,North America,Miami,Airport Duty-Free,Mobile Pop-Up Truck,2024-06-30,2024-08-28,59,LE-ZDHKIA8S,Rare Beauty Glow Fragrance,222.82,1487,3102,3393,91.42,0.9142,,,
POP101193,Shiseido Company Limited,Clé de Peau Beauté,Middle East,Riyadh,Department Store Atrium,Flash Event,2025-03-05,2025-05-25,81,LE-VQ4187CQ,Clé de Peau Beauté Rouge Blush,41.34,1576,3550,4791,74.1,0.741,,,
POP100030,L’Oréal Group,Valentino Beauty,Latin America,Buenos Aires,Department Store Atrium,Standalone Pop-Up,2024-03-20,2024-03-28,8,LE-EI958E3T,Valentino Beauty Velvet Mascara,34.7,1119,2311,3823,60.45,0.6045,,,
POP101222,L’Oréal Group,Lancôme,Middle East,Dubai,Luxury Mall,Flash Event,2025-04-24,2025-07-22,89,LE-ZNDIK5YW,Lancôme Éclat Lipstick,63.57,1998,2061,2651,77.74,0.7774,,,
POP101797,L’Oréal Group,Lancôme,Latin America,,Department Store Atrium,Mobile Pop-Up Truck,2024-09-12,2024-12-01,80,LE-R09FABDQ,Lancôme Glow Serum,106.25,928,1597,2331,68.51,0.6851,,,
POP101567,L’Oréal Group,Armani Beauty,Latin America,Lima,Luxury Mall,Standalone Pop-Up,2024-06-18,2024-08-29,72,LE-Z2OV0ZI1,Armani Beauty Éclat Fragrance,361.63,1862,1736,3354,51.76,0.5176,,,
POP102053,Estée Lauder Companies,NARS,Latin America,Bogotá,Airport Duty-Free,Shop-in-Shop,2025-05-24,2025-06-02,9,LE-BEMQG91T,NARS Velvet Mascara,44.97,1544,2337,2963,78.87,0.7887,,,
POP101887,Estée Lauder Companies,Tom Ford Beauty,Middle East,Jeddah,High-Street,Flash Event,2024-07-27,2024-09-16,51,LE-57J1QDQI,Tom Ford Beauty Lumière Blush,35.98,1151,2360,2689,87.76,0.8776,,,
POP101702,LVMH,Guerlain,North America,New York,Airport Duty-Free,Standalone Pop-Up,2024-10-29,2024-11-16,18,LE-KL3HU4L2,Guerlain Velvet Serum,125.54,1204,506,742,68.19,0.6819,,,
POP100634,Chanel Limited,Chanel,Latin America,Mexico City,Art/Design District,Flash Event,2025-02-13,2025-04-18,64,LE-WVHYH5LJ,Chanel Rouge Fragrance,213.12,710,2873,4646,61.84,0.6184,,,
POP101916,Estée Lauder Companies,NARS,Latin America,Mexico City,Art/Design District,Flash Event,2025-01-11,2025-01-19,8,LE-7BFEK253,NARS Rouge Setting Powder,84.29,1222,1655,1895,87.34,0.8734,,,
POP101920,Estée Lauder Companies,Tom Ford Beauty,Middle East,Dubai,High-Street,Mobile Pop-Up Truck,2024-08-25,2024-10-02,38,LE-PJHT366K,Tom Ford Beauty Lumière Blush,54.62,1182,1631,2077,78.53,0.7853,,,
POP101752,L’Oréal Group,Valentino Beauty,North America,Los Angeles,High-Street,Shop-in-Shop,2024-11-12,2025-02-05,85,LE-EBVBQFX8,Valentino Beauty Velvet Mascara,32.66,2467,1654,2686,61.58,0.6158,,,
POP101630,L’Oréal Group,Lancôme,Middle East,Abu Dhabi,Art/Design District,Mall Kiosk,2024-07-11,2024-07-28,17,LE-NVB9X7Q0,Lancôme Glow Lipstick,79.97,837,2578,4203,61.34,0.6134,,,
